semafor_id,status,raskrsnica_id,naziv_raskrsnice,tip_raskrsnice
1,aktivan,1,Raskrsnica sa semaforom,kontrolisana raskrsnica
1,aktivan,2,Raskrsnica sa semaforom,kontrolisana raskrsnica
1,aktivan,3,Raskrsnica sa semaforom,kontrolisana raskrsnica
2,aktivan,1,Raskrsnica sa semaforom,kontrolisana raskrsnica
2,aktivan,2,Raskrsnica sa semaforom,kontrolisana raskrsnica
2,aktivan,3,Raskrsnica sa semaforom,kontrolisana raskrsnica
3,aktivan,1,Raskrsnica sa semaforom,kontrolisana raskrsnica
3,aktivan,2,Raskrsnica sa semaforom,kontrolisana raskrsnica
3,aktivan,3,Raskrsnica sa semaforom,kontrolisana raskrsnica
4,aktivan,4,Raskrsnica sa semaforom,kontrolisana raskrsnica
5,aktivan,5,Raskrsnica sa semaforom,kontrolisana raskrsnica
5,aktivan,6,Raskrsnica sa semaforom,kontrolisana raskrsnica
5,aktivan,7,Raskrsnica sa semaforom,kontrolisana raskrsnica
6,aktivan,5,Raskrsnica sa semaforom,kontrolisana raskrsnica
6,aktivan,6,Raskrsnica sa semaforom,kontrolisana raskrsnica
6,aktivan,8,Raskrsnica sa semaforom,kontrolisana raskrsnica
7,aktivan,5,Raskrsnica sa semaforom,kontrolisana raskrsnica
7,aktivan,7,Raskrsnica sa semaforom,kontrolisana raskrsnica
7,aktivan,8,Raskrsnica sa semaforom,kontrolisana raskrsnica
8,aktivan,6,Raskrsnica sa semaforom,kontrolisana raskrsnica
8,aktivan,7,Raskrsnica sa semaforom,kontrolisana raskrsnica
8,aktivan,8,Raskrsnica sa semaforom,kontrolisana raskrsnica
9,aktivan,9,Raskrsnica sa semaforom,kontrolisana raskrsnica
9,aktivan,10,Raskrsnica sa semaforom,kontrolisana raskrsnica
10,aktivan,9,Raskrsnica sa semaforom,kontrolisana raskrsnica
10,aktivan,10,Raskrsnica sa semaforom,kontrolisana raskrsnica
11,aktivan,11,Raskrsnica sa semaforom,kontrolisana raskrsnica
11,aktivan,12,Raskrsnica sa semaforom,kontrolisana raskrsnica
12,aktivan,11,Raskrsnica sa semaforom,kontrolisana raskrsnica
12,aktivan,12,Raskrsnica sa semaforom,kontrolisana raskrsnica
13,aktivan,13,Raskrsnica sa semaforom,kontrolisana raskrsnica
14,aktivan,14,Raskrsnica sa semaforom,kontrolisana raskrsnica
15,aktivan,15,Raskrsnica sa semaforom,kontrolisana raskrsnica
15,aktivan,16,Raskrsnica sa semaforom,kontrolisana raskrsnica
15,aktivan,17,Raskrsnica sa semaforom,kontrolisana raskrsnica
16,aktivan,15,Raskrsnica sa semaforom,kontrolisana raskrsnica
16,aktivan,16,Raskrsnica sa semaforom,kontrolisana raskrsnica
16,aktivan,17,Raskrsnica sa semaforom,kontrolisana raskrsnica
17,aktivan,15,Raskrsnica sa semaforom,kontrolisana raskrsnica
17,aktivan,16,Raskrsnica sa semaforom,kontrolisana raskrsnica
17,aktivan,17,Raskrsnica sa semaforom,kontrolisana raskrsnica
18,aktivan,18,Raskrsnica sa semaforom,kontrolisana raskrsnica
18,aktivan,19,Raskrsnica sa semaforom,kontrolisana raskrsnica
19,aktivan,18,Raskrsnica sa semaforom,kontrolisana raskrsnica
19,aktivan,19,Raskrsnica sa semaforom,kontrolisana raskrsnica
19,aktivan,20,Raskrsnica sa semaforom,kontrolisana raskrsnica
20,aktivan,19,Raskrsnica sa semaforom,kontrolisana raskrsnica
20,aktivan,20,Raskrsnica sa semaforom,kontrolisana raskrsnica
21,aktivan,21,Raskrsnica sa semaforom,kontrolisana raskrsnica
22,aktivan,22,Raskrsnica sa semaforom,kontrolisana raskrsnica
23,aktivan,23,Raskrsnica sa semaforom,kontrolisana raskrsnica
24,aktivan,24,Raskrsnica sa semaforom,kontrolisana raskrsnica
25,aktivan,25,Raskrsnica sa semaforom,kontrolisana raskrsnica
26,aktivan,26,Raskrsnica sa semaforom,kontrolisana raskrsnica
27,aktivan,27,Raskrsnica sa semaforom,kontrolisana raskrsnica
28,aktivan,28,Raskrsnica sa semaforom,kontrolisana raskrsnica
29,aktivan,29,Raskrsnica sa semaforom,kontrolisana raskrsnica
29,aktivan,33,Raskrsnica sa semaforom,kontrolisana raskrsnica
30,aktivan,30,Raskrsnica sa semaforom,kontrolisana raskrsnica
31,aktivan,31,Raskrsnica sa semaforom,kontrolisana raskrsnica
32,aktivan,32,Raskrsnica sa semaforom,kontrolisana raskrsnica
32,aktivan,38,Raskrsnica sa semaforom,kontrolisana raskrsnica
33,aktivan,29,Raskrsnica sa semaforom,kontrolisana raskrsnica
33,aktivan,33,Raskrsnica sa semaforom,kontrolisana raskrsnica
33,aktivan,34,Raskrsnica sa semaforom,kontrolisana raskrsnica
34,aktivan,33,Raskrsnica sa semaforom,kontrolisana raskrsnica
34,aktivan,34,Raskrsnica sa semaforom,kontrolisana raskrsnica
35,aktivan,35,Raskrsnica sa semaforom,kontrolisana raskrsnica
35,aktivan,36,Raskrsnica sa semaforom,kontrolisana raskrsnica
36,aktivan,35,Raskrsnica sa semaforom,kontrolisana raskrsnica
36,aktivan,36,Raskrsnica sa semaforom,kontrolisana raskrsnica
37,aktivan,37,Raskrsnica sa semaforom,kontrolisana raskrsnica
37,aktivan,45,Raskrsnica sa semaforom,kontrolisana raskrsnica
38,aktivan,32,Raskrsnica sa semaforom,kontrolisana raskrsnica
38,aktivan,38,Raskrsnica sa semaforom,kontrolisana raskrsnica
39,aktivan,39,Raskrsnica sa semaforom,kontrolisana raskrsnica
40,aktivan,40,Raskrsnica sa semaforom,kontrolisana raskrsnica
41,aktivan,41,Raskrsnica sa semaforom,kontrolisana raskrsnica
42,aktivan,42,Raskrsnica sa semaforom,kontrolisana raskrsnica
43,aktivan,43,Raskrsnica sa semaforom,kontrolisana raskrsnica
44,aktivan,44,Raskrsnica sa semaforom,kontrolisana raskrsnica
45,aktivan,37,Raskrsnica sa semaforom,kontrolisana raskrsnica
45,aktivan,45,Raskrsnica sa semaforom,kontrolisana raskrsnica
46,aktivan,46,Raskrsnica sa semaforom,kontrolisana raskrsnica
47,aktivan,47,Raskrsnica sa semaforom,kontrolisana raskrsnica
48,aktivan,48,Raskrsnica sa semaforom,kontrolisana raskrsnica
49,aktivan,49,Raskrsnica sa semaforom,kontrolisana raskrsnica
49,aktivan,50,Raskrsnica sa semaforom,kontrolisana raskrsnica
49,aktivan,51,Raskrsnica sa semaforom,kontrolisana raskrsnica
50,aktivan,49,Raskrsnica sa semaforom,kontrolisana raskrsnica
50,aktivan,50,Raskrsnica sa semaforom,kontrolisana raskrsnica
50,aktivan,51,Raskrsnica sa semaforom,kontrolisana raskrsnica
50,aktivan,368,Raskrsnica sa semaforom,kontrolisana raskrsnica
51,aktivan,49,Raskrsnica sa semaforom,kontrolisana raskrsnica
51,aktivan,50,Raskrsnica sa semaforom,kontrolisana raskrsnica
51,aktivan,51,Raskrsnica sa semaforom,kontrolisana raskrsnica
51,aktivan,368,Raskrsnica sa semaforom,kontrolisana raskrsnica
52,aktivan,52,Raskrsnica sa semaforom,kontrolisana raskrsnica
52,aktivan,53,Raskrsnica sa semaforom,kontrolisana raskrsnica
53,aktivan,52,Raskrsnica sa semaforom,kontrolisana raskrsnica
53,aktivan,53,Raskrsnica sa semaforom,kontrolisana raskrsnica
53,aktivan,54,Raskrsnica sa semaforom,kontrolisana raskrsnica
54,aktivan,53,Raskrsnica sa semaforom,kontrolisana raskrsnica
54,aktivan,54,Raskrsnica sa semaforom,kontrolisana raskrsnica
55,aktivan,55,Raskrsnica sa semaforom,kontrolisana raskrsnica
56,aktivan,56,Raskrsnica sa semaforom,kontrolisana raskrsnica
57,aktivan,57,Raskrsnica sa semaforom,kontrolisana raskrsnica
58,aktivan,58,Raskrsnica sa semaforom,kontrolisana raskrsnica
59,aktivan,59,Raskrsnica sa semaforom,kontrolisana raskrsnica
60,aktivan,60,Raskrsnica sa semaforom,kontrolisana raskrsnica
61,aktivan,61,Raskrsnica sa semaforom,kontrolisana raskrsnica
62,aktivan,62,Raskrsnica sa semaforom,kontrolisana raskrsnica
62,aktivan,63,Raskrsnica sa semaforom,kontrolisana raskrsnica
62,aktivan,64,Raskrsnica sa semaforom,kontrolisana raskrsnica
62,aktivan,65,Raskrsnica sa semaforom,kontrolisana raskrsnica
63,aktivan,62,Raskrsnica sa semaforom,kontrolisana raskrsnica
63,aktivan,63,Raskrsnica sa semaforom,kontrolisana raskrsnica
63,aktivan,64,Raskrsnica sa semaforom,kontrolisana raskrsnica
63,aktivan,65,Raskrsnica sa semaforom,kontrolisana raskrsnica
64,aktivan,62,Raskrsnica sa semaforom,kontrolisana raskrsnica
64,aktivan,63,Raskrsnica sa semaforom,kontrolisana raskrsnica
64,aktivan,64,Raskrsnica sa semaforom,kontrolisana raskrsnica
64,aktivan,65,Raskrsnica sa semaforom,kontrolisana raskrsnica
65,aktivan,62,Raskrsnica sa semaforom,kontrolisana raskrsnica
65,aktivan,63,Raskrsnica sa semaforom,kontrolisana raskrsnica
65,aktivan,64,Raskrsnica sa semaforom,kontrolisana raskrsnica
65,aktivan,65,Raskrsnica sa semaforom,kontrolisana raskrsnica
66,aktivan,66,Raskrsnica sa semaforom,kontrolisana raskrsnica
66,aktivan,67,Raskrsnica sa semaforom,kontrolisana raskrsnica
67,aktivan,66,Raskrsnica sa semaforom,kontrolisana raskrsnica
67,aktivan,67,Raskrsnica sa semaforom,kontrolisana raskrsnica
68,aktivan,68,Raskrsnica sa semaforom,kontrolisana raskrsnica
68,aktivan,70,Raskrsnica sa semaforom,kontrolisana raskrsnica
69,aktivan,69,Raskrsnica sa semaforom,kontrolisana raskrsnica
70,aktivan,68,Raskrsnica sa semaforom,kontrolisana raskrsnica
70,aktivan,70,Raskrsnica sa semaforom,kontrolisana raskrsnica
70,aktivan,72,Raskrsnica sa semaforom,kontrolisana raskrsnica
71,aktivan,71,Raskrsnica sa semaforom,kontrolisana raskrsnica
72,aktivan,70,Raskrsnica sa semaforom,kontrolisana raskrsnica
72,aktivan,72,Raskrsnica sa semaforom,kontrolisana raskrsnica
73,aktivan,73,Raskrsnica sa semaforom,kontrolisana raskrsnica
74,aktivan,74,Raskrsnica sa semaforom,kontrolisana raskrsnica
75,aktivan,75,Raskrsnica sa semaforom,kontrolisana raskrsnica
76,aktivan,76,Raskrsnica sa semaforom,kontrolisana raskrsnica
77,aktivan,77,Raskrsnica sa semaforom,kontrolisana raskrsnica
78,aktivan,78,Raskrsnica sa semaforom,kontrolisana raskrsnica
78,aktivan,80,Raskrsnica sa semaforom,kontrolisana raskrsnica
79,aktivan,79,Raskrsnica sa semaforom,kontrolisana raskrsnica
79,aktivan,80,Raskrsnica sa semaforom,kontrolisana raskrsnica
80,aktivan,78,Raskrsnica sa semaforom,kontrolisana raskrsnica
80,aktivan,79,Raskrsnica sa semaforom,kontrolisana raskrsnica
80,aktivan,80,Raskrsnica sa semaforom,kontrolisana raskrsnica
81,aktivan,81,Raskrsnica sa semaforom,kontrolisana raskrsnica
82,aktivan,82,Raskrsnica sa semaforom,kontrolisana raskrsnica
83,aktivan,83,Raskrsnica sa semaforom,kontrolisana raskrsnica
83,aktivan,84,Raskrsnica sa semaforom,kontrolisana raskrsnica
84,aktivan,83,Raskrsnica sa semaforom,kontrolisana raskrsnica
84,aktivan,84,Raskrsnica sa semaforom,kontrolisana raskrsnica
85,aktivan,85,Raskrsnica sa semaforom,kontrolisana raskrsnica
85,aktivan,86,Raskrsnica sa semaforom,kontrolisana raskrsnica
86,aktivan,85,Raskrsnica sa semaforom,kontrolisana raskrsnica
86,aktivan,86,Raskrsnica sa semaforom,kontrolisana raskrsnica
87,aktivan,87,Raskrsnica sa semaforom,kontrolisana raskrsnica
87,aktivan,88,Raskrsnica sa semaforom,kontrolisana raskrsnica
87,aktivan,89,Raskrsnica sa semaforom,kontrolisana raskrsnica
88,aktivan,87,Raskrsnica sa semaforom,kontrolisana raskrsnica
88,aktivan,88,Raskrsnica sa semaforom,kontrolisana raskrsnica
88,aktivan,90,Raskrsnica sa semaforom,kontrolisana raskrsnica
89,aktivan,87,Raskrsnica sa semaforom,kontrolisana raskrsnica
89,aktivan,89,Raskrsnica sa semaforom,kontrolisana raskrsnica
89,aktivan,90,Raskrsnica sa semaforom,kontrolisana raskrsnica
90,aktivan,88,Raskrsnica sa semaforom,kontrolisana raskrsnica
90,aktivan,89,Raskrsnica sa semaforom,kontrolisana raskrsnica
90,aktivan,90,Raskrsnica sa semaforom,kontrolisana raskrsnica
91,aktivan,91,Raskrsnica sa semaforom,kontrolisana raskrsnica
92,aktivan,92,Raskrsnica sa semaforom,kontrolisana raskrsnica
93,aktivan,93,Raskrsnica sa semaforom,kontrolisana raskrsnica
94,aktivan,94,Raskrsnica sa semaforom,kontrolisana raskrsnica
95,aktivan,95,Raskrsnica sa semaforom,kontrolisana raskrsnica
95,aktivan,96,Raskrsnica sa semaforom,kontrolisana raskrsnica
96,aktivan,95,Raskrsnica sa semaforom,kontrolisana raskrsnica
96,aktivan,96,Raskrsnica sa semaforom,kontrolisana raskrsnica
97,aktivan,97,Raskrsnica sa semaforom,kontrolisana raskrsnica
97,aktivan,99,Raskrsnica sa semaforom,kontrolisana raskrsnica
98,aktivan,98,Raskrsnica sa semaforom,kontrolisana raskrsnica
98,aktivan,100,Raskrsnica sa semaforom,kontrolisana raskrsnica
99,aktivan,97,Raskrsnica sa semaforom,kontrolisana raskrsnica
99,aktivan,99,Raskrsnica sa semaforom,kontrolisana raskrsnica
100,aktivan,98,Raskrsnica sa semaforom,kontrolisana raskrsnica
100,aktivan,100,Raskrsnica sa semaforom,kontrolisana raskrsnica
101,aktivan,101,Raskrsnica sa semaforom,kontrolisana raskrsnica
102,aktivan,102,Raskrsnica sa semaforom,kontrolisana raskrsnica
102,aktivan,103,Raskrsnica sa semaforom,kontrolisana raskrsnica
102,aktivan,104,Raskrsnica sa semaforom,kontrolisana raskrsnica
103,aktivan,102,Raskrsnica sa semaforom,kontrolisana raskrsnica
103,aktivan,103,Raskrsnica sa semaforom,kontrolisana raskrsnica
103,aktivan,104,Raskrsnica sa semaforom,kontrolisana raskrsnica
103,aktivan,105,Raskrsnica sa semaforom,kontrolisana raskrsnica
104,aktivan,102,Raskrsnica sa semaforom,kontrolisana raskrsnica
104,aktivan,103,Raskrsnica sa semaforom,kontrolisana raskrsnica
104,aktivan,104,Raskrsnica sa semaforom,kontrolisana raskrsnica
104,aktivan,105,Raskrsnica sa semaforom,kontrolisana raskrsnica
105,aktivan,103,Raskrsnica sa semaforom,kontrolisana raskrsnica
105,aktivan,104,Raskrsnica sa semaforom,kontrolisana raskrsnica
105,aktivan,105,Raskrsnica sa semaforom,kontrolisana raskrsnica
106,aktivan,106,Raskrsnica sa semaforom,kontrolisana raskrsnica
107,aktivan,107,Raskrsnica sa semaforom,kontrolisana raskrsnica
108,aktivan,108,Raskrsnica sa semaforom,kontrolisana raskrsnica
109,aktivan,109,Raskrsnica sa semaforom,kontrolisana raskrsnica
110,aktivan,110,Raskrsnica sa semaforom,kontrolisana raskrsnica
111,aktivan,111,Raskrsnica sa semaforom,kontrolisana raskrsnica
112,aktivan,112,Raskrsnica sa semaforom,kontrolisana raskrsnica
113,aktivan,113,Raskrsnica sa semaforom,kontrolisana raskrsnica
114,aktivan,114,Raskrsnica sa semaforom,kontrolisana raskrsnica
115,aktivan,115,Raskrsnica sa semaforom,kontrolisana raskrsnica
116,aktivan,116,Raskrsnica sa semaforom,kontrolisana raskrsnica
117,aktivan,117,Raskrsnica sa semaforom,kontrolisana raskrsnica
118,aktivan,118,Raskrsnica sa semaforom,kontrolisana raskrsnica
119,aktivan,119,Raskrsnica sa semaforom,kontrolisana raskrsnica
120,aktivan,120,Raskrsnica sa semaforom,kontrolisana raskrsnica
121,aktivan,121,Raskrsnica sa semaforom,kontrolisana raskrsnica
122,aktivan,122,Raskrsnica sa semaforom,kontrolisana raskrsnica
123,aktivan,123,Raskrsnica sa semaforom,kontrolisana raskrsnica
124,aktivan,124,Raskrsnica sa semaforom,kontrolisana raskrsnica
124,aktivan,125,Raskrsnica sa semaforom,kontrolisana raskrsnica
124,aktivan,126,Raskrsnica sa semaforom,kontrolisana raskrsnica
124,aktivan,127,Raskrsnica sa semaforom,kontrolisana raskrsnica
125,aktivan,124,Raskrsnica sa semaforom,kontrolisana raskrsnica
125,aktivan,125,Raskrsnica sa semaforom,kontrolisana raskrsnica
125,aktivan,126,Raskrsnica sa semaforom,kontrolisana raskrsnica
125,aktivan,127,Raskrsnica sa semaforom,kontrolisana raskrsnica
126,aktivan,124,Raskrsnica sa semaforom,kontrolisana raskrsnica
126,aktivan,125,Raskrsnica sa semaforom,kontrolisana raskrsnica
126,aktivan,126,Raskrsnica sa semaforom,kontrolisana raskrsnica
126,aktivan,127,Raskrsnica sa semaforom,kontrolisana raskrsnica
127,aktivan,124,Raskrsnica sa semaforom,kontrolisana raskrsnica
127,aktivan,125,Raskrsnica sa semaforom,kontrolisana raskrsnica
127,aktivan,126,Raskrsnica sa semaforom,kontrolisana raskrsnica
127,aktivan,127,Raskrsnica sa semaforom,kontrolisana raskrsnica
128,aktivan,128,Raskrsnica sa semaforom,kontrolisana raskrsnica
128,aktivan,130,Raskrsnica sa semaforom,kontrolisana raskrsnica
129,aktivan,129,Raskrsnica sa semaforom,kontrolisana raskrsnica
130,aktivan,128,Raskrsnica sa semaforom,kontrolisana raskrsnica
130,aktivan,130,Raskrsnica sa semaforom,kontrolisana raskrsnica
131,aktivan,131,Raskrsnica sa semaforom,kontrolisana raskrsnica
131,aktivan,132,Raskrsnica sa semaforom,kontrolisana raskrsnica
132,aktivan,131,Raskrsnica sa semaforom,kontrolisana raskrsnica
132,aktivan,132,Raskrsnica sa semaforom,kontrolisana raskrsnica
132,aktivan,134,Raskrsnica sa semaforom,kontrolisana raskrsnica
133,aktivan,133,Raskrsnica sa semaforom,kontrolisana raskrsnica
133,aktivan,134,Raskrsnica sa semaforom,kontrolisana raskrsnica
134,aktivan,132,Raskrsnica sa semaforom,kontrolisana raskrsnica
134,aktivan,133,Raskrsnica sa semaforom,kontrolisana raskrsnica
134,aktivan,134,Raskrsnica sa semaforom,kontrolisana raskrsnica
135,aktivan,135,Raskrsnica sa semaforom,kontrolisana raskrsnica
136,aktivan,136,Raskrsnica sa semaforom,kontrolisana raskrsnica
136,aktivan,166,Raskrsnica sa semaforom,kontrolisana raskrsnica
136,aktivan,169,Raskrsnica sa semaforom,kontrolisana raskrsnica
137,aktivan,137,Raskrsnica sa semaforom,kontrolisana raskrsnica
137,aktivan,138,Raskrsnica sa semaforom,kontrolisana raskrsnica
138,aktivan,137,Raskrsnica sa semaforom,kontrolisana raskrsnica
138,aktivan,138,Raskrsnica sa semaforom,kontrolisana raskrsnica
139,aktivan,139,Raskrsnica sa semaforom,kontrolisana raskrsnica
140,aktivan,140,Raskrsnica sa semaforom,kontrolisana raskrsnica
141,aktivan,141,Raskrsnica sa semaforom,kontrolisana raskrsnica
142,aktivan,142,Raskrsnica sa semaforom,kontrolisana raskrsnica
143,aktivan,143,Raskrsnica sa semaforom,kontrolisana raskrsnica
144,aktivan,144,Raskrsnica sa semaforom,kontrolisana raskrsnica
144,aktivan,145,Raskrsnica sa semaforom,kontrolisana raskrsnica
144,aktivan,147,Raskrsnica sa semaforom,kontrolisana raskrsnica
145,aktivan,144,Raskrsnica sa semaforom,kontrolisana raskrsnica
